volid,reviewed,obscure,pubdate,birthdate,gender,nation,allwords,logistic,author,title,pubname,actually,realclass
loc.ark+=13960=t1gj02d1m,not,obscure,1854,1807,f,us,39919,0.433576697705,"Hewitt, Mary E.",Poems,,random,0
uc1.b274909,rev,known,1861,1821,f,uk,51722,0.613803788344,"Greenwell, Dora,",Poems,WR,reviewed,1
inu.30000108907506,not,obscure,1847,1794,m,us,70345,0.344373369384,"Tappan, William B.",Sacred and miscellaneous poems,,random,0
uc2.ark+=13960=t7zk5876h,not,obscure,1823,1800,m,us,11661,0.322512989038,"Bancroft, George,",Poems,,random,0
uc2.ark+=13960=t4gm86m20,rev,known,1859,1814,m,uk,26310,0.541324610937,"Hedderwick, James,",Lays of Middle Age,WR,reviewed,1
uc1.b3332871,rev,known,1914,1862,m,us,23255,0.393262229653,"Bangs, John Kendrick,",The foothills of Parnassus,PMV,reviewed,1
loc.ark+=13960=t01z4r32p,not,obscure,1914,1870,m,us,22475,0.443654130661,"Hewes, Charles Edwin,",Songs of the Rockies,,random,0
uc2.ark+=13960=t1sf2qq5z,rev,known,1828,1807,m,uk,22704,0.451054208977,"Montgomery, Robert,",The omnipresence of the Deity,ER,reviewed,1
nyp.33433076030273,rev,known,1842,1818,m,us,74981,0.511147885685,"Colton, George H.",Tecumseh;,GrM,reviewed,1
nyp.33433074874185,rev,known,1839,1806,m,uk,31042,0.549886993754,"Sterling, John,",Poems,QR,reviewed,1
loc.ark+=13960=t3902s17h,not,obscure,1918,1884,m,us,12437,0.486021955818,"Gruse, Edward.",Echoes of democracy,,random,0
loc.ark+=13960=t7wm1rg17,not,obscure,1907,0,f,us,15900,0.665428372224,"Johnson, Felicia Ross. [from old catalog]",Seamstress and poet,,random,0
nyp.33433075790711,not,obscure,1914,1873,m,us,12686,0.38086654624,"Fisher, Benjamin Franklin,",Life harmonies,,random,0
uc2.ark+=13960=t21c1v39v,rev,known,1866,1807,m,us,4143,0.604104813278,"Longfellow, Henry Wadsworth,",Flower-de-luce,ATL,"Norton, in-set",1
loc.ark+=13960=t1jh41981,not,obscure,1853,0,m,us,3449,0.494583532885,"Buchanan, William B.","Baltimore, or, Long, long time ago",,random,0
loc.ark+=13960=t85h85q7m,not,obscure,1901,1870,f,us,27775,0.34054055202,"Heyer, Mary B.",Under the southern sun [poems],,random,0
loc.ark+=13960=t9183w60x,not,obscure,1895,1846,m,us,34447,0.476476189552,"Savage, Richard,",After many years,,random,0
uc1.b182525,rev,known,1872,1830,m,us,42647,0.631285952758,"Hayne, Paul Hamilton,",Legends and lyrics,ATL,reviewed,1
uc2.ark+=13960=t23b6296r,rev,known,1898,1866,f,uk,13580,0.657330120377,"Shorter, Dora Sigerson,",The fairy changeling and other poems,FR,reviewed,1
mdp.39015065460522,not,obscure,1875,1811,m,uk,35961,0.364990427151,"Moffat, James C.",Alwyn,,random,0
uc2.ark+=13960=t0dv1cw73,not,obscure,1891,0,m,,12568,0.540128124951,"Irvine, J. P.",The green leaf and the gray,,random,0
loc.ark+=13960=t6k07vz1r,not,obscure,1890,0,m,us,906,0.36618695899,"Stone, Jasper Jay. [from old catalog]",The veteran's qualifications for civil service,,random,0
loc.ark+=13960=t77s85d09,not,obscure,1901,1855,m,us,10155,0.426235304733,"Dunham, Sam C.",The goldsmith of Nome,,random,0
uc2.ark+=13960=t8mc8v73b,rev,obscure,1900,1846,m,us,13758,0.566704316649,"Mifflin, Lloyd,",The fields of dawn and later sonnets,ATL,reviewed,1
uc2.ark+=13960=t9v121d4v,not,obscure,1869,0,,,15112,0.344693684377,"Ethelburga, O. S. B.","In coelo quies, and other poems",,random,0
